#CBMC 	 %Acceptance_AVG 	 %Acceptance_insert 	 %Acceptance_delete
cbmc-001-001 	 .00996 	 0.01992 	 0.00000
cbmc-005-005 	 .10955 	 0.13780 	 0.08130
cbmc-010-010 	 .16993 	 0.19952 	 0.14034
cbmc-020-010 	 .19055 	 0.30151 	 0.07960
cbmc-020-020 	 .37107 	 0.54337 	 0.19877
cbmc-050-010 	 .34996 	 0.45982 	 0.24010
cbmc-050-020 	 .48227 	 0.76613 	 0.19841
cbmc-050-030 	 .34780 	 0.53370 	 0.16191
cbmc-100-010 	 .39271 	 0.56876 	 0.21666
cbmc-100-020 	 .58926 	 0.73632 	 0.44221
cbmc-100-030 	 .46913 	 0.63669 	 0.30157
