#CBMC 	 %Acceptance
cbmc-001-001 	 0
cbmc-005-005 	 .08001
cbmc-010-010 	 .16014
cbmc-020-010 	 .17990
cbmc-020-020 	 .24057
cbmc-050-010 	 .21003
cbmc-050-020 	 .39981
cbmc-050-030 	 .41981
cbmc-100-010 	 .28873
cbmc-100-020 	 .38949
cbmc-100-030 	 .39027
