#CBMC 	 %Acceptance
1:1 	 0
5:5 	 .08001
10:10 	 .16014
#20:10 	 .17990
20:20 	 .24057
#50:10 	 .21003
50:20 	 .39981
50:30 	 .41981
#100:10 	 .28873
100:20 	 .38949
100:30 	 .39027
