#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
1:1 	 461067.9 	 383365.6
5:5 	 2158520.4 	 381982.2
10:10 	 4223686.3 	 375704.4
#20:10 	 5626191.6 	 369338.5
20:20 	 8365818.7 	 371569.0
#50:10 	 9939457.6 	 380543.4
50:20 	 12779973.7 	 385750.8
50:30 	 15225608.7 	 366128.5
#100:10 	 17072216.6 	 385388.0
100:20 	 19738161.9 	 386994.7
100:30 	 22614569.7 	 388007.5
