#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
1:1 	 476720.8 	 1439585.4
5:5 	 2187054.1 	 1496751.1
10:10 	 4215993.2 	 1459319.7
#20:10 	 5878427.1 	 1484037.7
20:20 	 8684098.1 	 1488589.6
#50:10 	 10279842.5 	 1997196.7
50:20 	 13050602.9 	 1474831.1
50:30 	 15864694.4 	 1456984.4
#100:10 	 17534305.8 	 1467226.4
100:20 	 20818113.8 	 1479615.6
100:30 	 22623547.9 	 1475451.9
