#CBMC 	 %Acceptance
1:1 	 .00994
5:5 	 .07002
10:10 	 .15994
#20:10 	 .30872
20:20 	 .25103
#50:10 	 .31161
50:20 	 .45082
50:30 	 .53490
#100:10 	 .44800
100:20 	 .58772
100:30 	 .56179
