#CBMC 	 %Acceptance_AVG 	 %Acceptance_insert 	 %Acceptance_delete
1:1 	 0 	 0.00000 	 0.00000
5:5 	 .08001 	 0.08076 	 0.07926
10:10 	 .16014 	 0.22053 	 0.09976
20:20 	 .24057 	 0.32226 	 0.15889
50:20 	 .39981 	 0.55933 	 0.24029
50:30 	 .41981 	 0.49880 	 0.34082
100:20 	 .38949 	 0.47723 	 0.30175
100:30 	 .39027 	 0.44230 	 0.33824
