#CBMC 	 %Acceptance_AVG 	 %Acceptance_insert 	 %Acceptance_delete
1:1 	 .00994 	 0.00000 	 0.01988
5:5 	 .07002 	 0.05988 	 0.08016
10:10 	 .15994 	 0.21978 	 0.10010
20:20 	 .25103 	 0.38299 	 0.11907
50:20 	 .45082 	 0.60326 	 0.29839
50:30 	 .53490 	 0.83367 	 0.23613
100:20 	 .58772 	 0.79114 	 0.38430
100:30 	 .56179 	 0.82561 	 0.29797
