#CBMC 	 %Acceptance
cbmc-001-001 	 .00996
cbmc-005-005 	 .10955
cbmc-010-010 	 .16993
cbmc-020-010 	 .19055
cbmc-020-020 	 .37107
cbmc-050-010 	 .34996
cbmc-050-020 	 .48227
cbmc-050-030 	 .34780
cbmc-100-010 	 .39271
cbmc-100-020 	 .58926
cbmc-100-030 	 .46913
