#CBMC 	 %Average-CPU (nano sec) 	 Average-GPU (nano sec)
#CBMC 	 %Short-Range 	 Long-range
cbmc-001-001 	 476720.8 	 1439585.4
cbmc-005-005 	 2187054.1 	 1496751.1
cbmc-010-010 	 4215993.2 	 1459319.7
cbmc-020-010 	 5878427.1 	 1484037.7
cbmc-020-020 	 8684098.1 	 1488589.6
cbmc-050-010 	 10279842.5 	 1997196.7
cbmc-050-020 	 13050602.9 	 1474831.1
cbmc-050-030 	 15864694.4 	 1456984.4
cbmc-100-010 	 17534305.8 	 1467226.4
cbmc-100-020 	 20818113.8 	 1479615.6
cbmc-100-030 	 22623547.9 	 1475451.9
