#CBMC 	 %Acceptance
cbmc-001-001 	 .00994
cbmc-005-005 	 .07002
cbmc-010-010 	 .15994
cbmc-020-010 	 .30872
cbmc-020-020 	 .25103
cbmc-050-010 	 .31161
cbmc-050-020 	 .45082
cbmc-050-030 	 .53490
cbmc-100-010 	 .44800
cbmc-100-020 	 .58772
cbmc-100-030 	 .56179
